idAxv,title,report-no,doi,submitter,abstract_md5,authors
0704.0007,Polymer Quantum Mechanics and its Continuum Limit,IGPG-07/03-2,10.1103/PhysRevD.76.044016,Alejandro Corichi,1d16479bc6150246648698d33b5deb83,"Alejandro Corichi, Tatjana Vukasinac and Jose A. Zapata"
0704.0008,Numerical solution of shock and ramp compression for general material  properties,"LA-UR-07-2051, LLNL-JRNL-410358",10.1063/1.2975338,Damian Swift,a3be4f4da50504105e3ae87b7867d6c8,Damian C. Swift
0704.0026,"Placeholder Substructures II: Meta-Fractals, Made of Box-Kites, Fill  Infinite-Dimensional Skies",,,Robert P. C. de Marrais,77ac4e34fd8c3707fa9ec5173c6ef9a3,Robert P. C. de Marrais
0704.0049,An algorithm for the classification of smooth Fano polytopes,,,Mikkel {\O}bro,fcf96e9073d5d679f485c0485a609a80,Mikkel {\O}bro
0704.0059,The Mass and Radius of the Unseen M-Dwarf Companion in the Single-Lined  Eclipsing Binary HAT-TR-205-013,,10.1086/518413,Thomas Beatty,2b70c8c15a95d056a6e6e89f93840a54,"T. G. Beatty, J. M. Fernandez, D. W. Latham, G. A. Bakos, G. Kovacs,
  R. W. Noyes, R. P. Stefanik, G. Torres, M. E. Everett, C. W. Hergenrother"
0704.0075,Strong decays of charmed baryons,,10.1103/PhysRevD.75.094017,Xiang Liu,aece90bd045f762c8807b289ace9cec8,"Chong Chen, Xiao-Lin Chen, Xiang Liu, Wei-Zhen Deng and Shi-Lin Zhu"
0704.0112,Placeholder Substructures III: A Bit-String-Driven ''Recipe Theory'' for  Infinite-Dimensional Zero-Divisor Spaces,,,Robert P. C. de Marrais,77ac4e34fd8c3707fa9ec5173c6ef9a3,Robert P. C. de Marrais
0704.0120,Strong Phase and $D^0-D^0bar$ mixing at BES-III,,10.1103/PhysRevD.75.094019,Haibo Li,6da4f9de010bd1344b6e00c09a4cfa1f,"Xiao-Dong Cheng, Kang-Lin He, Hai-Bo Li, Yi-Fang Wang, Mao-Zhi Yang"
0704.0128,An online repository of Swift/XRT light curves of GRBs,,10.1051/0004-6361:20077530,Kim Page,99a0b8a8f1e58dd21739dcaed0d07dc8,"P.A. Evans (1), A.P. Beardmore (1), K.L. Page (1), L.G. Tyler (1),
  J.P. Osborne (1), M.R. Goad (1), P.T. O'Brien (1), L. Vetere (2), J. Racusin
  (2), D. Morris (2), D.N. Burrows (2), M. Capalbi (3), M. Perri (3), N.
  Gehrels (4) and P. Romano (5,6) ((1) University of Leicester, (2)
  Pennsylvania State University, (3) ASI Science Data Center, (4) NASA/Goddard
  Space Flight Center, (5) INAF-Osservatorio Astronomico di Brera, (6)
  Universita' degli Studi di Milano)"
0704.0166,Supersymmetry breaking metastable vacua in runaway quiver gauge theories,"IFT-UAM/CSIC-07-14, CERN-PH-TH/2007-063",10.1088/1126-6708/2007/05/047,I\~naki Garc\'ia-Etxebarria,db9aa79ed1ad6fc9c3f329f2c9f32d5b,"Inaki Garcia-Etxebarria, Fouad Saad, Angel M. Uranga"
